"author","Affiliation"
"Jieping Ye","Outreach"
"Tao Xiong","Always Hired"
"Hannes P. Saal","Grand Rounds"
"Jo-Anne Ting","Grand Rounds"
"Sethu Vijayakumar","Outreach"
"Genevera I. Allen","Preston University, Pakistan Campus"
"Andreas Krause 0001","99designs"
"Peter Stobbe","Layer"
"Rudy Setiono","Ecole de l'Air"
"Aleksey Polovinkin","Beijing Union University"
"Victor Eruhimov","Technische Universität München"
"Vladimir Martyanov","Technische Universität München"
"Yoav Haimovitch","Triplebyte"
"Galen Andrew","Triplebyte"
"Catherine Oriat","Radical Designs"
"Muhammad-Naeem Irfan","Ivanovo State Power University"
"Roland Groz","College of St. Elizabeth"
"Yukun Chen","Liaoning Technical University"
"Raphaël Bailly","Preston University, Pakistan Campus"
"Peter D. Grünwald","Rockbot"
"Bryan R. Conroy","Indeed"
"Paul Sajda","Fachhochschule Dortmund"
"Alexander Tsiatas","Kentik"
"Fan Chung Graham","Kasetsart University"
"Kamalika Chaudhuri","Outreach"
"Weijia Wang 0001","The Juilliard School"
"Petri Kontkanen","Universidad Autónoma de Veracruz Villa Rica"
"Clément Levrard","Universidad Privada Los Andes"
"Warren B. Powell","Heritage College"
"Xiaotong Shen","Awadhesh Pratap Singh University"
"Francesco Orabona","Dover"
"Alfons Juan","University of Debrecen "
"Antonio L. Lagarda","Beijing Union University"
"Francisco Casacuberta","Highland Capital Partners"
"Jorge Civera","Postmates"
"Joshua V. Dillon","The Sourcery"
"Chong Wang 0002","Kagawa Medical School"
"John W. Paisley","Kagawa Medical School"
"Frederik Eaton","Aktana"
"Nicolas Le Roux","Preston University, Pakistan Campus"
"Davide Ariu","Université Senghor d'Alexandrie"
"David A. Van Dyk","Allbirds"
"Adam Coates 0002","Ecole de l'Air"
"Andrew Y. Ng","Braintree"
"Lee H. Dicker","IBM"
"Shane T. Jensen","Flipboard"
"Yongxin Taylor Xi","University of Engineering and Technology Lahore"
"Zhen James Xiang","Universidad Privada Los Andes"
"Bertrand Haas","Ecole de l'Air"
"Constantine Caramanis","Zero Financial"
"Anicet R. Blanch","Tokushima University"
"David Sánchez-Mendoza","Islamic Azad University, Janah"
"Lluís A. Belanche Muñoz","Tempo Automation"
"Antonino Freno","Bayside Solutions"
"Alejandro H. Toselli","Fachhochschule Dortmund"
"Enrique Vidal 0001","Swiftly"
"Joan-Andreu Sánchez","Codexis"
"Nicolás Serrano","Oracle"
"Verónica Romero 0001","Credit Karma"
"Jun Liu 0003","Heritage College"
"Jesús S. Aguilar-Ruiz","Okayama University of Science"
"José C. Riquelme","Liaoning Technical University"
"Roberto Ruiz","Radical Designs"
"Dian Gong","Universidad Autónoma de Veracruz Villa Rica"
"Gérard G. Medioni","Zero Financial"
"Nevena Lazic","Preston University, Pakistan Campus"
"Parham Aarabi","Sri Padmavati Women's University"
"Don Sheehy","University of the Faroe Islands"
"Sivaraman Balakrishnan","University of the Faroe Islands"
"Animashree Anandkumar","University of Medicine Magway"
"Elham Salehi","Tokyo Denki University"
"Jayashree Nyayachavadi","Technische Universität München"
"Robin Gras","Credit Karma"
"Tian-Hsiang Huang","Gustav-Siewerth-Akademie"
"Bernhard Steffen","Tokyo Denki University"
"Falk Howar","Kagawa Medical School"
"Malte Isberner","Huaihai Institute of Technology"
"Aaron Wilson","Kabam"
"Daniel A. Spielman","Technische Universität München"
"Huan Wang","IBM"
"John Wright 0001","Fachhochschule Dortmund"
"Hao Shen","Kagawa Medical School"
"Stefanie Jegelka","Ahi Evran University"
"Rich Caruana","Tokushima University"
"Arnaud Bergeron","Codexis"
"François Savard","Okayama University of Science"
"Frédéric Bastien","City University Programs in Bulgaria "
"Guillaume Sicard","Indeed"
"Jeremy Eustache","Quantcast"
"Moustapha Cissé","Stockholm School of Economics"
"Myriam Côté","Postmates"
"Nicolas Boulanger-Lewandowski","Sri Padmavati Women's University"
"Razvan Pascanu","Kosin University"
"Salah Rifai","Universitat de Vic"
"Sylvain Pannetier Lebeuf","The Superior College "
"Thomas M. Breuel","Awadhesh Pratap Singh University"
"Xavier Muller","Woebot Labs"
"Youssouf Chherawala","Flipboard"
"Yin-Wen Chang","Postmates"
"Mikhail Belkin","West Pomeranian Business School in Szczecin"
"Qichao Que","Flipboard"
"Yusu Wang","Stockholm School of Economics"
"Justin Domke","Oracle"
"Denver Dash","Tokyo Denki University"
"Mark Voortman","Gustav-Siewerth-Akademie"
"Tzu-Kuo Huang","Philo"
"Bastian Wemmenhove","The Sourcery"
"Tommaso Rizzo","Outreach"
"Bin Li 0027","Kosin University"
"Peilin Zhao","Allbirds"
"Carsten Ullrich","AMD"
"Changyong Niu","Universidad Privada Abierta Latinoamericana"
"Heng Luo","Ivanovo State Power University"
"Ruimin Shen","Tempo Automation"
"Ata Kabán","Grand Rounds"
"Robert J. Durrant","University of California, Riverside"
"Eiji Takimoto","Kentik"
"Masayuki Takeda","Kosin University"
"Shota Yasutake","Clover Health"
"Naresh Manwani","University of Baltimore"
"P. S. Sastry","Kagawa Medical School"
"David Kempe 0001","Veterinärmedizinische Universität Wien"
"Mohammad R. Salavatipour","Islamic Azad University, Janah"
"Wiley Greiner","Technische Universität München"
"Azadeh Khaleghi","Highland Capital Partners"
"Daniil Ryabko","Ahi Evran University"
"Gui-Bo Ye","Kasetsart University"
"Xiaohui Xie","Ecole de l'Air"
"Yifei Chen","Woebot Labs"
"Ian M. Molloy","Heritage College"
"Nan Ding 0002","Universidad Privada Abierta Latinoamericana"
"Ninghui Li","AMD"
"Yuan (Alan) Qi","Tokyo Denki University"
"Ankur P. Parikh","Oracle"
"Chunxia Wang","The Juilliard School"
"Juanying Xie","Rockbot"
"Weixin Xie","Zero Financial"
"Xinbo Gao 0001","Codexis"
"Irina Borisova","Philo"
"Nikolay G. Zagoruiko","University of the Faroe Islands"
"Olga Kutnenko","Ivanovo State Power University"
"Vladimir Dyubanov","West Pomeranian Business School in Szczecin"
"Grace Wahba","Odense University"
"Héctor Corrada Bravo","Indeed"
"Kevin H. Eng","Indeed"
"Sündüz Keles","Indiegogo"
"Mingxuan Sun","Codexis"
"Arne Mauser","Universidad Autónoma de Veracruz Villa Rica"
"Christian Buck","Dover"
"Christian Oberdörfer","University of the Faroe Islands"
"Jens Forster","Firat (Euphrates) University"
"Johannes Laudenberg","Always Hired"
"Michael Kramp","Tokyo Denki University"
"Niklas Hoppe","RGA Associates"
"Pascal Steingrube","Ivanovo State Power University"
"Patrick Doetsch","Intelliswift"
"Pavlo Golik","Intelliswift"
"Hiroshi Sawada","University of the Faroe Islands"
"Katsuhiko Ishiguro","Ecole de l'Air"
"Naonori Ueda","UserTesting"
"Scott Sanner","Jobspring Partners"
"Shengbo Guo","Academy of Management and Entrepreneurship"
"Xiao Li 0006","Shandong Medical University"
"David R. Kaeli","Jobspring Partners"
"Fatemeh Azmandian","Indeed"
"Javed A. Aslam","College of St. Elizabeth"
"Nicolas Vayatis","Highland Capital Partners"
"Stéphan Clémençon","Zero Financial"
"Sándor Szedmák","Kagawa Medical School"
"Yizhao Ni","Flipboard"
"Pierre Baldi","Heritage College"
"Alexander Grubb","Kosin University"
"Jialei Wang","Stockholm School of Economics"
"Gerald Tesauro","Linguistic University of Nizhny Novgorod"
"Christian Widmer","Indiegogo"
"Gunnar Rätsch","Kosin University"
"Bhushan Mandhani","Universitas Negeri Surabaya"
"Dmitry Pechyony","Shandong Medical University"
"Roni Khardon","Stockholm School of Economics"
"Rosie Jones","Layer"
"Yuyang Wang","Avicenna International College"
"Eric Riedl","University of Debrecen "
"Hang Zhang","Technische Universität München"
"Jacob Spoelstra","Technische Universität München"
"Valery A. Petrushin","99designs"
"Elad Mezuman","Shandong Medical University"
"Indraneel Mukherjee","Veterinärmedizinische Universität Wien"
"Debasis Sengupta","Woebot Labs"
"Radhendushka Srivastava","Bayside Solutions"
"Alexander L. Strehl","Windsor University School of Medicine"
"James Petterson","Rockbot"
"Qinfeng Shi","Kabam"
"Vishy Vishwanathan","Bayside Solutions"
"Edwin V. Bonilla","University of Engineering and Technology Lahore"
"Brent Bryan","Université Senghor d'Alexandrie"
"Alex Kulesza","Université Senghor d'Alexandrie"
"Fernando Pereira 0003","Shandong Medical University"
"Justin Ma","Stitch Labs"
"Mark Dredze","Jobspring Partners"
"Jan Lemeire","Linguistic University of Nizhny Novgorod"
"Kris Steenhaut","Tempo Automation"
"Charles Blundell","Gustav-Siewerth-Akademie"
"Anind K. Dey","UserTesting"
"Brian D. Ziebart","Liaoning Technical University"
"Kevin M. Peterson","Skillz"
"Martial Hebert","Kabam"
"Siddhartha S. Srinivasa","Sri Padmavati Women's University"
"Minyoung Kim","99designs"
"Jesse Read","Zero Financial"
"Christopher Meek","UserTesting"
"Jarkko Venna","Universitas Negeri Surabaya"
"Max Dama","West Pomeranian Business School in Szczecin"
"Zhiting Xu 0001","University of Medicine Magway"
"Ananth Mohan","Oracle"
"Zheng Chen","Triplebyte"
"Alessio Moneta","Linguistic University of Nizhny Novgorod"
"Nadine Chlass","Preston University, Pakistan Campus"
"Shaunak Chatterjee","Okayama University of Science"
"Stuart Russell 0001","Aktana"
"Alexander Ropson","General Assembly"
"Veselin Stoyanov","Woebot Labs"
"Carter T. Butts","Postmates"
"Hui Zou","Ahi Evran University"
"Maxim Raginsky","Veterinärmedizinische Universität Wien"
"Svetlana Lazebnik","Kentik"
"George Zouridakis","Clover Network"
"Ning Situ","Clover Health"
"Xiaojing Yuan","Allbirds"
"Alexander Borisov","Mozilla"
"Eugene Tuv","Islamic Azad University, Janah"
"George C. Runger","Betterworks"
"Dan Cornford","Credit Karma"
"Franziska Meier","Braintree"
"Yuki Yamagishi","Highland Capital Partners"
"Haakon Michael Austad","Universidad Privada Los Andes"
"Jaakko Riihimäki","Betterworks"
"Yang Zhou 0033","Indiegogo"
"John Aldo Lee","Vietnam Maritime University"
"Michel Verleysen","Aktana"
"Cesar Koirala","Tokushima University"
"Herbert G. Tanner","Credit Karma"
"Jane Chandlee","University of California, Riverside"
"Jie Fu","Clover Health"
"Konstantinos Karydis","Universitat de Vic"
"Chuanren Liu","Codexis"
"Hui Xiong 0001","Naytev"
"Yong Ge","BloomThat"
"Sofie Van Landeghem","University of Debrecen "
"Wojciech Wieczorek","Huaihai Institute of Technology"
"Carlos M. Carvalho","Odense University"
"James G. Scott","Shandong Medical University"
"Nicholas G. Polson","UserTesting"
"Hong Qiao","Jobspring Partners"
"Zhiyong Liu 0001","College of St. Elizabeth"
"Christos Dimitrakakis","Royal Danish School of Pharmacy"
"Gowtham Bellala","Kabam"
"Suresh K. Bhavnani","Heritage College"
"Christopher Leckie","West Pomeranian Business School in Szczecin"
"James Bailey 0001","West Pomeranian Business School in Szczecin"
"Kotagiri Ramamohanarao","Betterworks"
"Sergey Demyanov","Braintree"
"Cléo Zanella Billa","University of Engineering and Technology Lahore"
"Fábio N. Kepler","Okayama University of Science"
"Sérgio L. S. Mergen","Indiegogo"
"Kazuyuki Aihara","99designs"
"Sainbayar Sukhbaatar","Clover Health"
"Takaki Makino","RGA Associates"
"Takashi Chikayama","University of Debrecen "
"David Warde-Farley","Preston University, Pakistan Campus"
"Erick Lavoie","Postmates"
"Grégoire Mesnil","University of California, Riverside"
"Ian J. Goodfellow","Betterworks"
"Yann N. Dauphin","Kabam"
"André Filipe Torres Martins","Universidad Privada Los Andes"
"Mário A. T. Figueiredo","University of Baltimore"
"Noah A. Smith","Dover"
"Pedro M. Q. Aguiar","Stockholm School of Economics"
"Yang Xu 0023","Universidad Autónoma de Veracruz Villa Rica"
"Adam R. Klivans","Flipboard"
"Parikshit Gopalan","Indiegogo"
"Raghu Meka","Radical Designs"
"Alexander Ilin","Awadhesh Pratap Singh University"
"Jaakko Luttinen","University of Debrecen "
